,customer_number,principal_amount,outstanding_amount,outstanding_ratio,dpd,is_delinquent,avg_bill_gap,late_ratio,paid_ratio,marital_status,age_group
47,011428eebccebfe04dfa30e8f21a3d3a3d7c15e8470a5a8fcb3d949088f60eab,5000000.0,2200000.0,0.44,0,0,-10.28,0.26,1.0,WIDOWED,adult
48,0119212eef940eea1cff49324f16663cbdafa01005edb7064d4992faf58708df,10000000.0,4000000.0,0.4,0,0,-13.24,0.04,1.0,MARRIED,senior
49,011cb821a1caab5388f4e061bb4d79c020e83781cb78f8945b3795643986e4b1,5000000.0,1900000.0,0.38,0,0,-9.4,0.06,0.96,MARRIED,adult
50,0134520aae9c4d14b72ce7f8e572bbc75554f7a171476c7c94a13829508d4556,6500000.0,2990000.0,0.46,0,0,-11.28,0.08,1.0,MARRIED,senior
51,01379c138db58e8d074bf8841606ffd9a05d1ae1bacaa4a421f66fff7b83a51e,7000000.0,3080000.0,0.44,0,0,-1.42,0.2,0.9,MARRIED,mature
52,013b1b69c5560cac6b0005a849534857a75b85e60f7bbf8cf7ab01f921a7a9d7,5500000.0,2530000.0,0.46,0,0,-11.56,0.08,1.0,MARRIED,mature
53,013cb58e49e028c4fd0bbd67a1f51683620ab27dd55e6fef80d73ab5fdd506d3,8000000.0,3040000.0,0.38,0,0,-13.2,0.08,1.0,MARRIED,mature
54,0141d077dea002a5dec5a6ab34196b236a72c01e2da1c9b9603a2ff301154d70,6000000.0,3960000.0,0.66,54,1,1.54,0.22,0.36,MARRIED,adult
55,01421db6e78b5f35915051cc5931ba0745c60ad1e0fca14fca9b1fb4748614c5,5000000.0,2300000.0,0.46,0,0,-6.0,0.08,1.0,MARRIED,senior
56,0142c52bba661ca4e48d1a72d425d885cd834006d29d0a97fc4362ff56c1dc38,9000000.0,4320000.0,0.48,0,0,-9.2,0.12,1.0,MARRIED,mature
57,0152d240e77d2e6b298248ba08e7e64ccbd66f835541740f92aa8a93df8f56bc,9000000.0,3780000.0,0.42,0,0,-12.38,0.12,1.0,MARRIED,mature
58,0153be7381d43f946e4577eaf254120a9ead73a81f0cef527e03cd92e3fff861,9000000.0,7875000.0,0.875,142,1,3.520833333333333,0.125,0.1265554392610313,MARRIED,adult
59,015d067252519bfa455f4891f35c803d21bba245fd888bc426211a7383bbaa04,6000000.0,2520000.0,0.42,0,0,-5.36,0.1,0.92,MARRIED,senior
60,016a241482c0e95b09e860bb5dbedb34bb8202e0b2e0f1463f027118a1451f95,9000000.0,4140000.0,0.46,0,0,-10.3,0.04,1.0,MARRIED,senior
61,016bfc16ee26af5dcdceae28141dc6065bffbb0e7b4bf5a32f4841eb97ad24ea,5000000.0,2200000.0,0.44,0,0,-3.4,0.08,0.9,MARRIED,adult
62,016c068076d3ef9cefdb2993d22d93dfc804a4617543c403532fc84aeb9e4867,4000000.0,1760000.0,0.44,0,0,-1.64,0.18,0.9,MARRIED,mature
63,017153a5e6baa8d83b624e613d807027b2040ad741d270c4411c39e543501121,6500000.0,3120000.0,0.48,0,0,-12.36,0.1,1.0,MARRIED,mature
64,0174e3507caac056fd209ca50c828cfe782b060fce8b73f116cd804133a9063b,7000000.0,2940000.0,0.42,0,0,-0.06,0.22,0.88,MARRIED,adult
65,018146133a188132dec36f56450525328e6a5eb37836dc0e5a650f3d4db7d8e1,8000000.0,3165700.0,0.3957125,0,0,-1.1041666666666667,0.4166666666666667,1.0,MARRIED,mature
66,0182d9da5a296c23f264cf82d2d2fa32501a3a7e36534ea8080eade5d9fb5369,4000000.0,1920000.0,0.48,19,0,3.96,0.5,0.72,MARRIED,mature
67,0184980d830a951112e2dc37d0a43e1e23cc279d48ecf5d903ebdf216d587bf8,5000000.0,2000000.0,0.4,0,0,-6.6,0.08,1.0,MARRIED,mature
68,01894f7d22051f96ae2629bb51f114b62aadc02ecbf3536870ed47f58a2f8927,5000000.0,2117100.0,0.42342,0,0,4.82,0.54,0.78,MARRIED,mature
69,018b7beff412ff1eac240f3f46fe3a693d2493c3026cfea4023c870be384b76b,6000000.0,2640000.0,0.44,0,0,-5.92,0.2,1.0,MARRIED,senior
70,018e2b87241d59d6678e5715ade7356d6a1822154d45199efd9930a956504a0c,5000000.0,2500000.0,0.5,0,0,-0.72,0.04,0.86,MARRIED,mature
71,018e4bc72ff9613aa850dd6d4259118086f962364169d228710428e76da85df2,5000000.0,2200000.0,0.44,0,0,-5.22,0.1,0.9,MARRIED,mature
72,019175014eda70dcb88d3bf9d7167f9d0e633405a4299a5fffa35b9805696e28,8000000.0,3200000.0,0.4,0,0,-2.54,0.08,0.72,MARRIED,mature
73,0192e2ee194c06933ea7111ca6b6602ceb949c8ea04cf469351949be532263ea,5000000.0,2400000.0,0.48,0,0,-8.96,0.42,1.0,MARRIED,mature
74,019540de6d8287fd7f0425d69f1812ae95e761f28e22d90431329aafea036f3a,5000000.0,2200000.0,0.44,0,0,-1.04,0.42,0.56,MARRIED,mature
75,0197697487aa5a15d5573736b0b1676da7fad7e2da926d5874967709b4642d3a,5000000.0,2100000.0,0.42,0,0,-10.68,0.12,1.0,MARRIED,adult
76,0198e7e95b8723672307f86e82e5e1773bf39c6b0317499d796eff6c3c32ec65,5000000.0,2200000.0,0.44,0,0,-3.06,0.7,1.0,MARRIED,adult
77,01a7e305ae1b3675a8cae1ced10dd0b107e1ade2be5a3a9db4c02c3dc743ac23,6000000.0,2520000.0,0.42,0,0,-10.66,0.16,1.0,MARRIED,senior
78,01af1090f8769d3450d59e3d565e22d44418d2e7f054cd2df5198ca05c97de13,5000000.0,3200000.0,0.64,61,1,-0.9,0.12,0.36,MARRIED,mature
79,01b0fb0e93a31f4a2e672dc2af651319f34c5bd1278614c2ac8957781f44f285,5000000.0,2200000.0,0.44,0,0,-6.18,0.1,1.0,MARRIED,mature
80,01bd707c4a4c3c305b38e74852d0d5bae6c4f6fe151e03f8af2fc9629a0f8663,6000000.0,2760000.0,0.46,0,0,0.54,0.18,0.88,MARRIED,senior
81,01c02158afc6176ae2b9276474704ed9b9cd34071533fcd7f905bfeefc4d617f,5000000.0,2700000.0,0.54,33,1,2.26,0.34,0.46,MARRIED,mature
82,01c19e458790d56c4459458f61ad073301a7c5df5af8fcdeb878fa44bbf02e3c,5000000.0,2300000.0,0.46,0,0,-11.2,0.06,1.0,MARRIED,mature
83,01c7ec328f1d6bcd7a2c81b3e0219bfdfe177b88577928e25e06aa5f6a0949be,5000000.0,2300000.0,0.46,0,0,-9.38,0.14,1.0,MARRIED,senior
84,01ce02b98fcdafa83a6d2a8a80ccfdf0cdba91c137e3f740ad4b7421a6d00108,4000000.0,1760000.0,0.44,0,0,-13.28,0.06,1.0,MARRIED,young
85,01d2262f4c93b4add21a4d9545464c831d2c73774951d9e403e404e38a612e7b,5000000.0,2000000.0,0.4,0,0,-3.0,0.12,0.94,MARRIED,young
86,01d6072b8b6004f4aeb1fb4e0939123f7b4eb1a870da52c72fa90d9d7dc10666,5000000.0,3500000.0,0.7,82,1,0.22,0.1,0.3,MARRIED,adult
87,01d7c7b4a8baaac49f5e88588a4e9bdd81313325421ea961d03be53ea006f30d,10000000.0,4400000.0,0.44,0,0,-5.22,0.08,0.88,MARRIED,mature
88,01d834a2ad2f0280001f389bb38fdf1a95904bcafb974f3f677f71d752f9d705,7000000.0,5460000.0,0.78,124,1,-0.28,0.08,0.22,MARRIED,mature
89,01d88adeb0bf81532ecab5b378a1529c03e6bebb6eb7ef99a54bf8498351668c,5000000.0,2300000.0,0.46,0,0,-6.62,0.1,1.0,MARRIED,senior
90,01d96b1149e34275bbba4d241b2fb6dc9959bf9c8f55b64af9ec8715fdce6320,4000000.0,1680000.0,0.42,0,0,-15.22,0.1,1.0,MARRIED,mature
91,01da653de0d59bb9c97253d3131dac7fc97cef6f596841fe521be15d1b8c8adb,10000000.0,4600000.0,0.46,0,0,-10.86,0.2,1.0,MARRIED,mature
92,01e44a592f8102c0e2ba1b6b6aa7335a56748809edea0872382a9658034073c4,5000000.0,2400000.0,0.48,0,0,-7.5,0.14,1.0,MARRIED,mature
93,01e53a5e66f3511420539484aa83d389ad2d6c283e2ff890bc7032d0e0977cbb,4000000.0,1840000.0,0.46,0,0,-2.18,0.08,0.88,WIDOWED,mature
94,01f016888c5c302d67e7132a7df08c731c4129da2d4885479a1a391b0a6bda5f,6000000.0,2880000.0,0.48,0,0,-9.54,0.44,1.0,MARRIED,senior
95,01f259e5ddf6638609c325d93f580862951fca5355140b782a6eb7f156bc243c,5000000.0,2400000.0,0.48,0,0,0.92,0.72,0.86,MARRIED,mature
96,01f2a88b19f486a946845b4a251f32ac778c5caa0677d6e455e94b078500ac70,8000000.0,3499100.0,0.4373875,0,0,-1.8333333333333333,0.0,0.9168042629840888,MARRIED,mature
97,01f80398fd72c0b8d178b68c3b90fdc11ddf47d176c936be6f8541c95d0dc7f2,5000000.0,2300000.0,0.46,0,0,-11.46,0.06,1.0,MARRIED,senior
98,0202c251e860a442279a67dee02614a3e7c368cf74120d456b0cd0fb548f4fb3,5000000.0,2300000.0,0.46,0,0,-11.22,0.12,1.0,MARRIED,adult
99,02053256a3966270713be9ace9e7be289e421c624b607c1dc494d31a3a6b0446,7000000.0,2623000.0,0.3747142857142857,0,0,-3.6458333333333335,0.0208333333333333,0.979504835088931,MARRIED,senior
100,0210a1f81c8b73c05e40363ededb4bdbe0e3d558df5073375565549bba5f3a36,4000000.0,1840000.0,0.46,0,0,-7.42,0.08,1.0,WIDOWED,senior
101,021d0fdfc1f760f97d7258230c494b389e5c06abacc9e7003f628e05df4b2068,5000000.0,3600000.0,0.72,103,1,0.6,0.18,0.28,MARRIED,mature
102,021e54ac3eacb0b7856b2d7ba2199ee158032a40434200bedb44b115feda3334,7000000.0,3060700.0,0.4372428571428571,0,0,-2.9166666666666665,0.0625,1.0,MARRIED,mature
103,022697afa1d78c0669faec67597f3ed6294a8612a05a185a24ea9e0c9af0ed53,4000000.0,1760000.0,0.44,0,0,-12.1,0.16,1.0,MARRIED,senior
104,0236effb2386a73d9d04a8e29cba4ad97764b0c315a80c8b775a49176ab4f1de,9000000.0,3780000.0,0.42,0,0,-9.48,0.08,1.0,MARRIED,young
105,02385014495336b38d0e332f6d0244cab9bba1db46879b8fae1debbc033d89b0,5000000.0,2000000.0,0.4,0,0,-13.32,0.06,1.0,MARRIED,adult
106,023ab0e42a1040aa98186b2fec95b45f6fafb19e36ea67e001063cff1a311cba,5000000.0,2200000.0,0.44,0,0,-11.8,0.1,1.0,WIDOWED,senior
107,023c24b4e22bd88801587f5ab07a15bda13fc9317ca2fc3f4e62fb6df5ffe58f,5000000.0,2200000.0,0.44,0,0,-10.26,0.1,1.0,MARRIED,senior
108,0244c136fe36c92ec8f5df560ef15c249338719bd91562cb85d3b167b6391aa9,5000000.0,2187200.0,0.43744,0,0,-3.125,0.0625,0.8960500846842487,MARRIED,mature
109,02474bea16d7850c5d56856a39a8c9064181e4fcc053a27a3802354dbf66de27,5000000.0,2400000.0,0.48,0,0,-0.54,0.08,0.86,MARRIED,mature
110,024940960bd695ef8208960dca3ca3aa7bd6fdf54a5cfb769e80b18c7a8806d6,7000000.0,4060000.0,0.58,33,1,-0.34,0.1,0.42,MARRIED,senior
111,024f452df5121e9088a6ccd5e1fc0502ff742f5de59cc7f29cf32d3772a2a793,5000000.0,2900000.0,0.58,26,0,-0.08,0.16,0.42,MARRIED,adult
112,025598b7ffcd96a06ec8b73c9dac9c6de386b8a0c6ea155cf74c0d10d2cff51d,5000000.0,2400000.0,0.48,0,0,-35.88,0.08,1.0,MARRIED,mature
113,02589c07bc79b0bc08ed6726415c316c538f142e7d45cece011f499961687e5b,5000000.0,2300000.0,0.46,0,0,-0.5,0.14,0.88,MARRIED,senior
114,0259538a0f6bcd622c41c5dd2a00f3996e23677911f16fb8a412a9ae5d634974,5000000.0,2900000.0,0.58,40,1,2.18,0.3,0.42,MARRIED,adult
115,02597ae4353adbfec264cdde4570bce4d0ed03067d35de654cbc9396d3755a57,5000000.0,2400000.0,0.48,0,0,-0.5,0.16,0.86,MARRIED,mature
116,025cdc1006340873a81563cc5ccb6c832f5e23d8e69d903bdaaba2c834af598f,5000000.0,2200000.0,0.44,0,0,-8.14,0.2,1.0,MARRIED,senior
117,0267064ca7e0bef0a2c21d5258cff3f6d97ce2cfed3138f2a3213715672d5048,6000000.0,2760000.0,0.46,0,0,-11.96,0.08,1.0,MARRIED,mature
118,026beee9996a2bd25a231db09319b78340125c46f0d71448d1fabb91f25d89d5,5000000.0,2300000.0,0.46,0,0,-8.0,0.66,1.0,MARRIED,adult
119,026d9b9c964371a842385b9628039a67286764c07842b113e0e4a54e3ae27881,8500000.0,3910000.0,0.46,0,0,-11.3,0.12,1.0,MARRIED,senior
120,026dbf16b61b27b7abf8f96445444c2b43e4b70218609a6ef882228807da6eba,5000000.0,2300000.0,0.46,0,0,-6.7,0.16,1.0,MARRIED,mature
121,026e3de1f2b7a3b25fb2ae9470cfe31adb8d3e5de92e9fba7fd5344503dfbb51,8000000.0,4000000.0,0.5,0,0,1.18,0.54,0.68,MARRIED,mature
122,02770df888272d3c2a58e178d27371d723c6836744246a5b4a82ccc95b663787,6000000.0,2400000.0,0.4,0,0,-15.14,0.1,1.0,MARRIED,senior
123,0279d39b95594d9642bb48a884a51fd466f6d0050fda55c4c4875b9992c7494a,4500000.0,1800000.0,0.4,0,0,-6.74,0.46,1.0,MARRIED,adult
124,0280f9b2b5631e1a316e0d31b3223b025dea6ec3f13e07301e083e3481a862b8,5000000.0,2100000.0,0.42,0,0,-5.48,0.1,0.92,MARRIED,mature
125,0282ed85a3ccb518efbd4595b596f04c35b702d87f507ba4ea470fdd0736803d,5000000.0,2300000.0,0.46,0,0,0.4,0.18,0.88,MARRIED,adult
126,0284e8444f8dee54261fb1403831c1c81df7b765cba0359a24a614525bd4d434,6000000.0,2280000.0,0.38,0,0,-7.56,0.06,0.96,MARRIED,mature
127,028821080b4be89724547e41a18d4ede5c35f859d7c057a299029f3f506b6448,6000000.0,2760000.0,0.46,0,0,-0.58,0.08,0.88,MARRIED,young
128,029246339302fd02dfe4f3df3a3c114c7715b77f1c1d048ff6b599e428facc9c,12000000.0,5052198.0,0.4210165,0,0,1.5625,0.8958333333333334,0.8958333333333334,MARRIED,mature
129,029bcc26d53da24806ccaa5e875c6570553426f23d33892b2f141d2ef93f8981,5000000.0,2200000.0,0.44,0,0,1.18,0.78,0.9,MARRIED,mature
130,029dd3c1da870cbbca6d51c648b121aacbdc986738709bc595fda09943b9441a,7000000.0,2940000.0,0.42,0,0,-10.84,0.12,1.0,MARRIED,mature
131,029dfe89b5a3b641566bed267a202da397077a8bbec8ca5709b1b5da3a56e6ef,8500000.0,4080000.0,0.48,0,0,-2.14,0.04,0.62,WIDOWED,mature
132,029f040a43eb57668a4143a955325a836970ae21942fb361e0f4d5dc1a2120cf,5000000.0,2000000.0,0.4,0,0,-13.0,0.0,1.0,MARRIED,mature
133,029fdd3c2b1e1842912f218d6a38b772f29bd482f72fcc15156426bc3b8c12c6,9000000.0,3780000.0,0.42,0,0,-10.2,0.16,1.0,MARRIED,adult
134,02a06e741aeb8d88e5418b7924735884d8c6739c271b6d897014f6a2da5bcdfc,5000000.0,2100000.0,0.42,0,0,-7.62,0.34,1.0,MARRIED,senior
135,02a395e723a4505690309fdffe57090416e2de15edf12288de49f7d7024941a2,5000000.0,2300000.0,0.46,0,0,-0.42,0.22,0.86,MARRIED,mature
136,02a443dcb821da8b8c212d18a5b0e601d4834f920309291e819bfa68e60788b5,5000000.0,2200000.0,0.44,0,0,-10.18,0.14,1.0,MARRIED,mature
137,02a7f9b49e205dd518012b093fa511921f87762b2f326233912905de88de33bf,7000000.0,3220000.0,0.46,0,0,-11.1,0.12,1.0,MARRIED,mature
138,02a9b5d58956b51b543a58020485c187e0fabdfd87b5b99b2c428d006e91ffa6,8000000.0,3360000.0,0.42,0,0,-11.2,0.12,1.0,MARRIED,mature
139,02b6137718e3f57f0f744ed2e56325d27e6857a2692bfc62448fa1cf869bd800,5000000.0,3400000.0,0.68,75,1,-1.42,0.16,0.32,MARRIED,senior
140,02b6c60d29cbf55f1101096a6effae3c97a86bff6b2c8c36cec0675d66c0e095,5000000.0,2300000.0,0.46,0,0,-10.84,0.26,1.0,MARRIED,mature
141,02bbeb1fb98e9ca3d3cdfef68aef14efe3250ec52e6a6d7d3a356b3080a6efb0,5000000.0,2200000.0,0.44,0,0,-10.0,0.62,1.0,MARRIED,mature
142,02be47a32abdec2112d61e86fddda0a6d6cd8b64ad8aabacf8fa6d08d99693ff,4000000.0,2000000.0,0.5,12,0,-0.36,0.1,0.5,MARRIED,mature
143,02c9f2195687cf0bea6a72026b951b3adb247562deb929c470e97b3802253d7c,9000000.0,4140000.0,0.46,0,0,0.2,0.2,0.6104121475054229,MARRIED,mature
144,02ca8d081b64c63cb4ec1dbe04abec203490652dc87efa9a85d4f6c892186776,6500000.0,4979400.0,0.7660615384615385,103,1,-0.34,0.08,0.2354686601495112,MARRIED,adult
145,02cabb5e11d281b3b90693fd20f8c5866acbcf3479e4d3835fb765aa27a88144,4500000.0,3300400.0,0.7334222222222222,103,1,0.38,0.14,0.2699667774086379,MARRIED,senior
146,02cb13fec81d5016440d9a0c6483f043a8674d9630cff5293b366eaabd2d39a2,5000000.0,2300000.0,0.46,0,0,0.0,0.3,0.6005534779356769,MARRIED,young
147,02cdd679eb82bf6a92b9968889c78f174255d1009149b49a9104d29beea2b16b,5000000.0,2300000.0,0.46,0,0,0.52,0.24,0.72,MARRIED,young
148,02cef02aacb8392c1f83057d49f72cbaac4c7eaafbfe2e3b91d7e6897345c995,5000000.0,2300000.0,0.46,0,0,-5.76,0.08,1.0,MARRIED,senior
149,02cfba22c957662dc517481d87472943312d4986e83bbc1f837699a51b2dd85a,5000000.0,2400000.0,0.48,0,0,-8.94,0.36,1.0,MARRIED,mature
150,02d40ec88f2aaa3e6d5f0ade8d3b4d0a5531d091ccd0662ad33479c726dea6f5,5000000.0,2000000.0,0.4,0,0,-3.66,0.08,1.0,MARRIED,adult
151,02d89c76ea2c51b3942d7234919d159f5e6f1ca71a2d1a33d48b1de2bf735295,5000000.0,2400000.0,0.48,0,0,-5.84,0.06,1.0,WIDOWED,senior
152,02d900fc8f057adb172a7764ee0030dd7ed7e18086e48a97d96761469a15784e,6000000.0,2640000.0,0.44,0,0,-6.38,0.1,0.84,MARRIED,senior
153,02e05881e8c3199637919f6180f377dd026e1d7c9b2792c31b3bae301fd63723,5000000.0,2100000.0,0.42,0,0,-11.0,0.12,1.0,MARRIED,mature
154,02e2867b7552c87386bf1ed14581cb91c1c0ce163317aafc5abf08caf2939d3a,6000000.0,2760000.0,0.46,0,0,0.42,0.14,0.88,MARRIED,senior
155,02edfba902ddd37599893966209fa3350413b3b2589c332172ce3b8f64724f07,8000000.0,3680000.0,0.46,0,0,-0.64,0.1,0.88,WIDOWED,mature
156,02ef67ff193ae6887e3c8a53ddb4a14d43bf72fde54f8d2cf8d6a35b3dc6f4dd,6000000.0,2880000.0,0.48,0,0,-0.46,0.1,0.86,MARRIED,mature
157,02faa913c9fb2010446c6bed102e9d659389966585652dda4894e60dd439a31c,5000000.0,2000000.0,0.4,0,0,-6.84,0.06,1.0,MARRIED,mature
158,0303c9e450b605089c79011616b51590decd14078e6abab327a87dc8be382672,5000000.0,2100000.0,0.42,0,0,-12.98,0.12,1.0,MARRIED,mature
